age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
34.0, ?,331996.25, 12th,10.0, Divorced, Handlers-cleaners, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
36.0, Private,303331.25, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
34.0, ?,337809.9, Doctorate,8.0, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,48.0, Mexico, >50K
34.0, Private,351089.53, 12th,7.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,35.0, Mexico, >50K
36.0, ?,306537.66, Doctorate,4.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,35.0, Mexico, >50K
31.0, Private,319362.38, Doctorate,9.0, Divorced, Handlers-cleaners, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
37.0, ?,268248.88, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, United-States, >50K
37.0, ?,229339.31, Doctorate,7.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
34.0, ?,333561.06, Doctorate,6.5562077, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, United-States, >50K
38.0, ?,289616.72, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
28.0, ?,329846.0, 12th,6.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
33.0, Private,331006.47, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
36.0, ?,324262.97, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,37.0, Mexico, >50K
31.0, ?,331330.06, Doctorate,9.0, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
31.0, ?,341651.97, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
33.0, ?,346172.22, Doctorate,5.0, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
41.0, ?,356875.03, Doctorate,4.864136, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,25.0, Mexico, >50K
42.0, ?,356412.62, Doctorate,6.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
